vision_score,vad_score,oww_score,output
0.000438,0.791471,0.669070,1
0.038519,0.769032,0.752918,1
0.456609,0.696066,0.993674,1
0.614855,0.767447,0.993385,1
0.584806,0.750074,0.759364,1
0.597206,0.940783,0.990786,1
0.616159,0.757085,0.993521,1
0.611710,0.732064,0.992958,1
0.543517,0.743925,0.992865,1
0.000501,0.801255,0.993287,1
0.000000,0.762080,0.992790,1
0.000000,0.778612,0.993192,1
0.000000,0.741001,0.993150,1
0.000000,0.744579,0.992702,1
0.045447,0.786682,0.992725,1
0.101255,0.770287,0.993110,1
0.094187,0.775073,0.993145,1
0.141755,0.757618,0.993594,1
0.117521,0.750328,0.992038,1
0.343073,0.778000,0.992682,1
0.553436,0.592086,0.001312,1
0.587551,0.619974,0.001514,1
0.600924,0.655712,0.001553,1
0.626511,0.621601,0.009758,1
0.635051,0.618197,0.001606,1
0.633868,0.647794,0.001337,1
0.633457,0.641853,0.001302,1
0.624332,0.748988,0.991852,1
0.634881,0.713744,0.992764,1
0.641526,0.745909,0.993074,1
0.632654,0.738772,0.993803,1
0.626174,0.665590,0.992878,1
0.601879,0.750231,0.982536,1
0.618230,0.752013,0.990897,1
0.619176,0.739691,0.992575,1
0.621616,0.735371,0.993038,1
0.003527,0.757229,0.992581,1
0.000000,0.736411,0.992692,1
0.000000,0.738950,0.941863,1
0.000000,0.731170,0.992815,1
0.000000,0.742655,0.993110,1
0.000000,0.720687,0.992732,1
0.000000,0.693756,0.993386,1
0.586086,0.743443,0.118412,1
0.595882,0.739334,0.010781,1
0.589896,0.714948,0.001398,1
0.598636,0.678972,0.001555,1
0.598637,0.710432,0.028167,1
0.600700,0.704331,0.002689,1
0.536861,0.677341,0.001677,1
0.490253,0.737085,0.004200,1
0.000000,0.846895,0.993808,1
0.000000,0.742833,0.993556,1
0.000000,0.834490,0.992935,1
0.000000,0.857009,0.993508,1
0.000000,0.865110,0.993004,1
0.132761,0.737136,0.993065,1
0.060578,0.754595,0.992760,1
0.199081,0.760568,0.992697,1
0.243746,0.751222,0.993389,1
0.254051,0.783385,0.993230,1
0.271511,0.753810,0.992462,1
0.315612,0.763586,0.992617,1
0.283703,0.706935,0.992761,1
0.296839,0.768940,0.993025,1
0.330716,0.752363,0.992257,1
0.355119,0.709156,0.992305,1
0.345871,0.759262,0.993446,1
